Unnamed: 0,Player Name,Team,Conference,Position,Height,Year,GP,GS,MIN,MPG,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,PTS,PPG,ORB,DRB,TOT RB,RPG,PF,AST,TO,STL,BLK,APG,SPG,DRBPG,ORBPG,BPG,TOPG,eFG,three_share,AST_TOV,FTR,TS_pct,usg,pts_per_40,reb_per_40,ast_per_40,stl_per_40,blk_per_40,tov_per_40,PC1,PC2,PC3,PC4
818,"Pierce, Marcus",New Mexico,Rocky Mountain,G,75,Sr.,27,3,704,26.1,123,257,0.479,41,96,0.427,114,138,0.826,401,14.9,13,48,61,2.3,52,88,79,23,3,3.259259259259259,0.8518518518518519,1.7777777777777777,0.4814814814814814,0.1111111111111111,2.925925925925926,0.5583657587548638,0.3735408560311284,1.1139240506329111,0.5369649805447471,0.6310587939065844,0.5635227272727273,22.784090909090907,3.4659090909090913,5.0,1.3068181818181817,0.1704545454545454,4.488636363636363,0.2972991643712082,2.7368656893764274,0.7731531684286713,-2.3438895037180574
819,"Adedigba, Ramiah",New Mexico,Rocky Mountain,G,73,Sr.,27,21,792,29.3,114,219,0.521,23,62,0.371,74,89,0.831,325,12.0,33,47,80,3.0,42,47,36,35,10,1.7407407407407407,1.2962962962962965,1.7407407407407407,1.2222222222222223,0.3703703703703703,1.3333333333333333,0.5730593607305936,0.2831050228310502,1.3055555555555556,0.4063926940639269,0.6294546017973349,0.3714141414141414,16.414141414141415,4.040404040404041,2.3737373737373737,1.7676767676767675,0.5050505050505051,1.8181818181818183,0.13280256469406854,0.43980589223108135,0.6931028634054673,0.14406032076259645
820,"Sacko, Ibrahima",New Mexico,Rocky Mountain,F,79,Jr.,28,11,663,23.7,131,227,0.577,4,11,0.364,51,106,0.481,317,11.3,21,94,115,4.1,73,36,53,28,22,1.2857142857142858,1.0,3.357142857142857,0.75,0.7857142857142857,1.8928571428571428,0.5859030837004405,0.0484581497797356,0.6792452830188679,0.4669603524229075,0.5792281830141792,0.4926696832579185,19.12518853695324,6.93815987933635,2.1719457013574663,1.6892911010558072,1.3273001508295623,3.197586726998491,2.1790154448404575,0.6889849348877586,-0.3966887925572061,-0.9233902988263901
821,"Walker, Dontae",New Mexico,Rocky Mountain,G,78,Sr.,29,19,688,23.7,99,210,0.471,14,43,0.326,96,128,0.75,308,10.6,41,93,134,4.6,90,25,48,28,5,0.8620689655172413,0.9655172413793104,3.206896551724138,1.4137931034482758,0.1724137931034483,1.6551724137931034,0.5047619047619047,0.2047619047619047,0.5208333333333334,0.6095238095238096,0.5782517272454191,0.456860465116279,17.906976744186046,7.790697674418605,1.4534883720930234,1.6279069767441865,0.2906976744186046,2.7906976744186047,1.992271992652924,0.5210663319408568,-0.14789865879509098,-1.0363155379566613
822,"Comer, BJ",New Mexico,Rocky Mountain,G,76,Gr.,32,30,943,29.5,107,222,0.482,18,59,0.305,86,115,0.748,318,9.9,35,82,117,3.7,81,97,68,45,11,3.03125,1.40625,2.5625,1.09375,0.34375,2.125,0.5225225225225225,0.2657657657657657,1.4264705882352942,0.5180180180180181,0.5832721936903889,0.3611876988335101,13.488865323435844,4.96288441145281,4.114528101802757,1.9088016967126191,0.4665959703075292,2.8844114528101805,0.3198066329644962,1.7303192143334947,-0.4887886570069586,0.2190368545325014
823,"Williams, Nikk",New Mexico,Rocky Mountain,F,80,Jr.,31,25,674,21.7,111,202,0.55,3,11,0.273,27,59,0.458,252,8.1,61,129,190,6.1,89,38,52,31,16,1.2258064516129032,1.0,4.161290322580645,1.967741935483871,0.5161290322580645,1.6774193548387095,0.556930693069307,0.0544554455445544,0.7307692307692307,0.292079207920792,0.5527285488682224,0.4153709198813057,14.955489614243325,11.275964391691396,2.255192878338278,1.8397626112759644,0.9495548961424332,3.086053412462908,2.369015283800778,0.49301860786512164,-0.7330950208364696,0.2544336117775207
824,"Parham, Caileb",New Mexico,Rocky Mountain,G,75,Fr.,30,25,623,20.8,70,149,0.47,19,54,0.352,29,44,0.659,188,6.3,25,62,87,2.9,73,23,38,45,9,0.7666666666666667,1.5,2.066666666666667,0.8333333333333334,0.3,1.2666666666666666,0.5335570469798657,0.3624161073825503,0.6052631578947368,0.2953020134228188,0.558327393680209,0.3312359550561798,12.070626003210272,5.585874799357945,1.476725521669342,2.8892455858747996,0.5778491171749599,2.4398073836276084,-0.20410120506664026,0.120224792948828,-0.7800565732725682,-0.44139076888056467
826,"Tate, Trey",New Mexico,Rocky Mountain,G,78,Sr.,23,1,253,11.0,33,87,0.379,26,72,0.361,15,16,0.938,107,4.7,3,22,25,1.1,12,6,10,5,2,0.2608695652173913,0.217391304347826,0.9565217391304348,0.1304347826086956,0.0869565217391304,0.4347826086956521,0.5287356321839081,0.8275862068965517,0.6,0.1839080459770115,0.5689068481497235,0.4112252964426878,16.91699604743083,3.952569169960474,0.9486166007905138,0.7905138339920948,0.3162055335968379,1.5810276679841897,-1.441216320108645,-2.512637656886307,1.235776807785494,-1.3653852612514614
828,"Isoje, Wesley",New Mexico,Rocky Mountain,F,79,Jr.,26,6,299,11.5,39,70,0.557,0,1,0.0,13,30,0.433,91,3.5,35,50,85,3.3,44,11,23,18,5,0.4230769230769231,0.6923076923076923,1.9230769230769231,1.3461538461538465,0.1923076923076923,0.8846153846153846,0.5571428571428572,0.0142857142857142,0.4782608695652174,0.4285714285714285,0.546875,0.3551839464882943,12.173913043478262,11.37123745819398,1.4715719063545152,2.408026755852843,0.6688963210702341,3.076923076923077,1.472705608046336,0.3411299403842473,-1.8354567466997822,-0.6295262869648718
836,"Abdur-Razaaq, Marzouq",Colorado Springs,Rocky Mountain,F,78,Fr.,25,24,581,23.2,139,243,0.572,13,37,0.351,63,91,0.692,354,14.2,58,90,148,5.9,63,26,37,22,2,1.04,0.88,3.6,2.32,0.08,1.48,0.5987654320987654,0.1522633744855967,0.7027027027027027,0.3744855967078189,0.6253533069530808,0.5508433734939759,24.371772805507742,10.189328743545612,1.7900172117039586,1.5146299483648882,0.1376936316695353,2.547332185886403,2.5578820785364833,0.6778808532887285,1.5094737680452524,-0.5706685204409945
