observationKey,season,playerId,playerName,teamName,conference,minutes,bartRole,pbpPlayerId,pbpMatchType,ht_inches,usg_%,TS_%,ORB_%,DRB_%,AST_%,FT_%,FT_rate,TP_%,ast_tov,TOV%,rim_pct_of_total_attempts,rim_%,mid_pct_of_total_attempts,mid_%,threePA_per_100,pct_rim_made_assisted,pct_three_made_assisted,pct_total_made_assisted,blk_%,stl_%,pf_per_40,stops_per_40,A0,A1,A2,A3,A4,A5,A6,A7,primaryArchetype,primaryArchetypeLabel,primaryArchetypeWeight,secondaryArchetype,secondaryArchetypeLabel,secondaryArchetypeWeight,unstableArchetypeFlag,stabilityTier,stabilityNote
127954::2026::Hampton,2026,127954,Kellan Lewis,Hampton,CAA,36.7892,Wing F,127954,pid_team,72,19.2,43.8,7.8,4.4,0,50.0,150,50.0,0.66666670,33.7,0.0,0.0,50.0,0.0,4.34172,0.0,100.0,100.0,0,0,5.7,3.097963532775923,0.316342,0.0,0.560642,0.0,0.123016,0.0,0.0,0.0,A2,Low-Production Player,0.560642,A0,Perimeter Spacer,0.316342,True,very_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
76573::2026::Hampton,2026,76573,Peter Oduro,Hampton,CAA,141.864,Wing F,76573,pid_team,80,6.6,14.39,4.5,13.4,1.5,50.0,33.3,0.0,0.66666667,15.1,41.66666666666667,20.0,41.66666666666667,0.0,0.998597,100.0,0.0,100.0,0.9,0.5,4.3,4.620453391981052,0.021384,0.0,0.700789,0.0,0.0,0.0,0.0,0.277827,A2,Low-Production Player,0.700789,A7,Traditional Big,0.277827,True,borderline_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
134749::2026::Harvard,2026,134749,Avner Dror,Harvard,Ivy,2.05,C,134749,pid_team,81,42.4,0,87.9,0,0,0.0,0,0.0,0.00000000,0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,2.427746341463415,0.440281,0.0,0.559719,0.0,0.0,0.0,0.0,0.0,A2,Low-Production Player,0.559719,A0,Perimeter Spacer,0.440281,True,very_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
127448::2026::Harvard,2026,127448,Dutch Dowdell,Harvard,Ivy,55.875,Combo G,127448,pid_team,78,14.7,46.88,0,13.2,3.4,0.0,0,33.300000000000004,1.00000000,7.7,0.0,0.0,6.25,0.0,16.9832,0.0,100.0,100.0,0,2.2,1.4,6.213240268456375,0.622812,0.377188,0.0,0.0,0.0,0.0,0.0,0.0,A0,Perimeter Spacer,0.622812,A1,Connecting Guard,0.377188,True,unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
77462::2026::Harvard,2026,77462,Greg Cooper,Harvard,Ivy,7.575,Wing G,77462,pid_team,72,6,0,0,16.4,0,0.0,0,0.0,0.00000000,0,0.0,0.0,0.0,0.0,7.92549,0.0,0.0,0.0,0,0,0,5.038183498349835,0.43516,0.0,0.56484,0.0,0.0,0.0,0.0,0.0,A2,Low-Production Player,0.56484,A0,Perimeter Spacer,0.43516,True,very_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
134752::2026::Harvard,2026,134752,Joseph Quartey,Harvard,Ivy,16.5426,Pure PG,134752,pid_team,74,8.2,0,0,0,0,0.0,0,0.0,1.00000000,0,0.0,0.0,33.33333333333333,0.0,7.92549,0.0,0.0,0.0,0,3.8,4.9,5.869186222238342,0.026298,0.342402,0.455577,0.175723,0.0,0.0,0.0,0.0,A2,Low-Production Player,0.455577,A1,Connecting Guard,0.342402,True,very_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
128323::2026::Harvard,2026,128323,Kenan Parrish,Harvard,Ivy,105.4,Stretch 4,128323,pid_team,84,20.8,44.94,2.6,17.2,2,60.0,16.1,33.300000000000004,0.28567755,21.2,28.125,66.67,40.625,23.080000000000002,5.67393,83.33333333333334,100.0,76.92307692307693,3.5,1.9,4,6.711840607210625,0.37255,0.0,0.589844,0.0,0.0,0.037606,0.0,0.0,A2,Low-Production Player,0.589844,A0,Perimeter Spacer,0.37255,True,borderline_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
79022::2026::Harvard,2026,79022,Luca Ace-Nasteski,Harvard,Ivy,102.505,C,79022,pid_team,82,13.6,54.18,6.3,15.2,8.5,81.8,68.8,0.0,1.66666660,13.2,78.94736842105263,46.67,0.0,0.0,0.596542,85.71428571428571,0.0,88.88888888888889,1.1,1.2,5,6.215228525437784,0.246183,0.753817,0.0,0.0,0.0,0.0,0.0,0.0,A1,Connecting Guard,0.753817,A0,Perimeter Spacer,0.246183,True,borderline_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
78308::2026::Harvard,2026,78308,Payton Pitts,Harvard,Ivy,3.8,Combo G,78308,pid_team,74,14.5,0,0,0,0,0.0,0,0.0,0.00000000,0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,2.706726315789474,0.251709,0.0,0.748291,0.0,0.0,0.0,0.0,0.0,A2,Low-Production Player,0.748291,A0,Perimeter Spacer,0.251709,True,very_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
134751::2026::Harvard,2026,134751,Ryan Sullivan,Harvard,Ivy,148.38,C,134751,pid_team,81,9.6,61.62,11.4,22.1,5.2,33.300000000000004,40,0.0,1.00000000,14.1,68.75,72.72999999999999,18.75,66.67,0.454741,100.0,0.0,90.9090909090909,10.2,1.8,4.6,8.077961989486454,0.0,0.388356,0.0,0.0,0.0,0.0,0.0,0.611644,A7,Traditional Big,0.611644,A1,Connecting Guard,0.388356,True,borderline_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
